Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Age
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.1,18.7,181,3750,MALE,5135
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.5,17.4,186,3800,FEMALE,5135
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.3,18,195,3250,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,NA,NA,NA,NA,NA,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,19.3,193,3450,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.3,20.6,190,3650,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.9,17.8,181,3625,FEMALE,5131
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.2,19.6,195,4675,MALE,5131
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.1,18.1,193,3475,NA,5137
Adelie Penguin (Pygoscelis adeliae),Torgersen,42,20.2,190,4250,NA,5137
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.1,186,3300,NA,5137
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.3,180,3700,NA,5137
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,17.6,182,3200,FEMALE,5131
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,21.2,191,3800,MALE,5131
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,21.1,198,4400,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.6,17.8,185,3700,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.7,19,195,3450,FEMALE,5134
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.5,20.7,197,4500,MALE,5134
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.4,18.4,184,3325,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Torgersen,46,21.5,194,4200,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,18.3,174,3400,FEMALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,18.7,180,3600,MALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.9,19.2,189,3800,FEMALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,18.1,185,3950,MALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.8,17.2,180,3800,MALE,5136
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.3,18.9,187,3800,FEMALE,5136
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.6,183,3550,MALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,17.9,187,3200,FEMALE,5134
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,172,3150,FEMALE,5136
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,18.9,180,3950,MALE,5136
Adelie Penguin (Pygoscelis adeliae),Dream,39.5,16.7,178,3250,FEMALE,5137
Adelie Penguin (Pygoscelis adeliae),Dream,37.2,18.1,178,3900,MALE,5137
Adelie Penguin (Pygoscelis adeliae),Dream,39.5,17.8,188,3300,FEMALE,5137
Adelie Penguin (Pygoscelis adeliae),Dream,40.9,18.9,184,3900,MALE,5137
Adelie Penguin (Pygoscelis adeliae),Dream,36.4,17,195,3325,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,39.2,21.1,196,4150,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,38.8,20,190,3950,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,42.2,18.5,180,3550,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,37.6,19.3,181,3300,FEMALE,5133
Adelie Penguin (Pygoscelis adeliae),Dream,39.8,19.1,184,4650,MALE,5133
Adelie Penguin (Pygoscelis adeliae),Dream,36.5,18,182,3150,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.4,195,3900,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,36,18.5,186,3100,FEMALE,5127
Adelie Penguin (Pygoscelis adeliae),Dream,44.1,19.7,196,4400,MALE,5127
Adelie Penguin (Pygoscelis adeliae),Dream,37,16.9,185,3000,FEMALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.8,190,4600,MALE,5130
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,19,182,3425,MALE,5133
Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.9,179,2975,NA,5133
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.9,190,3450,FEMALE,5133
Adelie Penguin (Pygoscelis adeliae),Dream,42.3,21.2,191,4150,MALE,5133
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,17.7,186,3500,FEMALE,4774
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.1,18.9,188,4300,MALE,4774
Adelie Penguin (Pygoscelis adeliae),Biscoe,35,17.9,190,3450,FEMALE,4771
Adelie Penguin (Pygoscelis adeliae),Biscoe,42,19.5,200,4050,MALE,4771
Adelie Penguin (Pygoscelis adeliae),Biscoe,34.5,18.1,187,2900,FEMALE,4771
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.4,18.6,191,3700,MALE,4771
Adelie Penguin (Pygoscelis adeliae),Biscoe,39,17.5,186,3550,FEMALE,4765
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.8,193,3800,MALE,4765
Adelie Penguin (Pygoscelis adeliae),Biscoe,36.5,16.6,181,2850,FEMALE,4765
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,19.1,194,3750,MALE,4765
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.7,16.9,185,3150,FEMALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.3,21.1,195,4400,MALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,17,185,3600,FEMALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,18.2,192,4050,MALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,36.4,17.1,184,2850,FEMALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.6,18,192,3950,MALE,4767
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.5,16.2,195,3350,FEMALE,4774
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,19.1,188,4100,MALE,4774
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.9,16.6,190,3050,FEMALE,4769
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.8,19.4,198,4450,MALE,4769
Adelie Penguin (Pygoscelis adeliae),Torgersen,33.5,19,190,3600,FEMALE,4766
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.7,18.4,190,3900,MALE,4766
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.6,17.2,196,3550,FEMALE,4769
Adelie Penguin (Pygoscelis adeliae),Torgersen,45.8,18.9,197,4150,MALE,4769
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.5,17.5,190,3700,FEMALE,4772
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.8,18.5,195,4250,MALE,4772
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.9,16.8,191,3700,FEMALE,4774
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.2,19.4,184,3900,MALE,4774
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,16.1,187,3550,FEMALE,4771
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.1,19.1,195,4000,MALE,4771
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,17.2,189,3200,FEMALE,4778
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.9,17.6,196,4700,MALE,4778
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,18.8,187,3800,FEMALE,4773
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.1,19.4,193,4200,MALE,4773
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,17.8,191,3350,FEMALE,4763
Adelie Penguin (Pygoscelis adeliae),Dream,41.3,20.3,194,3550,MALE,4763
Adelie Penguin (Pygoscelis adeliae),Dream,36.3,19.5,190,3800,MALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,36.9,18.6,189,3500,FEMALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,38.3,19.2,189,3950,MALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,38.9,18.8,190,3600,FEMALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,35.7,18,202,3550,FEMALE,4766
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,18.1,205,4300,MALE,4766
Adelie Penguin (Pygoscelis adeliae),Dream,34,17.1,185,3400,FEMALE,4775
Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.1,186,4450,MALE,4775
Adelie Penguin (Pygoscelis adeliae),Dream,36.2,17.3,187,3300,FEMALE,4763
Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.9,208,4300,MALE,4763
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,18.6,190,3700,FEMALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,40.3,18.5,196,4350,MALE,4772
Adelie Penguin (Pygoscelis adeliae),Dream,33.1,16.1,178,2900,FEMALE,4770
Adelie Penguin (Pygoscelis adeliae),Dream,43.2,18.5,192,4100,MALE,4770
Adelie Penguin (Pygoscelis adeliae),Biscoe,35,17.9,192,3725,FEMALE,4406
Adelie Penguin (Pygoscelis adeliae),Biscoe,41,20,203,4725,MALE,4406
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,16,183,3075,FEMALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,20,190,4250,MALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,193,2925,FEMALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,18.9,184,3550,MALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.6,17.2,199,3750,FEMALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,20,190,3900,MALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,17,181,3175,FEMALE,4395
Adelie Penguin (Pygoscelis adeliae),Biscoe,43.2,19,197,4775,MALE,4395
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,16.5,198,3825,FEMALE,4403
Adelie Penguin (Pygoscelis adeliae),Biscoe,45.6,20.3,191,4600,MALE,4403
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,17.7,193,3200,FEMALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.2,19.5,197,4275,MALE,4400
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,20.7,191,3900,FEMALE,4398
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.7,18.3,196,4075,MALE,4398
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,17,188,2900,FEMALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.3,20.5,199,3775,MALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.7,17,189,3350,FEMALE,4393
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,18.6,189,3325,MALE,4393
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,17.2,187,3150,FEMALE,4398
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.7,19.8,198,3500,MALE,4398
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.2,17,176,3450,FEMALE,4399
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.4,18.5,202,3875,MALE,4399
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.2,15.9,186,3050,FEMALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.6,19,199,4000,MALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.8,17.6,191,3275,FEMALE,4394
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.5,18.3,195,4300,MALE,4394
Adelie Penguin (Pygoscelis adeliae),Torgersen,39,17.1,191,3050,FEMALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,44.1,18,210,4000,MALE,4397
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.5,17.9,190,3325,FEMALE,4392
Adelie Penguin (Pygoscelis adeliae),Torgersen,43.1,19.2,197,3500,MALE,4392
Adelie Penguin (Pygoscelis adeliae),Dream,36.8,18.5,193,3500,FEMALE,4405
Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.5,199,4475,MALE,4405
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,17.6,187,3425,FEMALE,4402
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,17.5,190,3900,MALE,4402
Adelie Penguin (Pygoscelis adeliae),Dream,35.6,17.5,191,3175,FEMALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,20.1,200,3975,MALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,37,16.5,185,3400,FEMALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,39.7,17.9,193,4250,MALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,17.1,193,3400,FEMALE,4401
Adelie Penguin (Pygoscelis adeliae),Dream,40.6,17.2,187,3475,MALE,4401
Adelie Penguin (Pygoscelis adeliae),Dream,32.1,15.5,188,3050,FEMALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,40.7,17,190,3725,MALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,16.8,192,3000,FEMALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,39,18.7,185,3650,MALE,4399
Adelie Penguin (Pygoscelis adeliae),Dream,39.2,18.6,190,4250,MALE,4402
Adelie Penguin (Pygoscelis adeliae),Dream,36.6,18.4,184,3475,FEMALE,4402
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.8,195,3450,FEMALE,4398
Adelie Penguin (Pygoscelis adeliae),Dream,37.8,18.1,193,3750,MALE,4398
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.1,187,3700,FEMALE,4398
Adelie Penguin (Pygoscelis adeliae),Dream,41.5,18.5,201,4000,MALE,4398
Gentoo penguin (Pygoscelis papua),Biscoe,46.1,13.2,211,4500,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,50,16.3,230,5700,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,14.1,210,4450,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.2,218,5700,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,47.6,14.5,215,5400,MALE,5128
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,13.5,210,4550,FEMALE,5128
Gentoo penguin (Pygoscelis papua),Biscoe,45.4,14.6,211,4800,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,46.7,15.3,219,5200,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,43.3,13.4,209,4400,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,15.4,215,5150,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,40.9,13.7,214,4650,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,49,16.1,216,5550,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.7,214,4650,FEMALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.6,213,5850,MALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.6,210,4200,FEMALE,5113
Gentoo penguin (Pygoscelis papua),Biscoe,49.3,15.7,217,5850,MALE,5113
Gentoo penguin (Pygoscelis papua),Biscoe,42,13.5,210,4150,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,49.2,15.2,221,6300,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.5,209,4800,FEMALE,5119
