Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Age
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.1,222,5350,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,50.2,14.3,218,5700,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,215,5000,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.5,213,4400,FEMALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,46.3,15.8,215,5050,MALE,5119
Gentoo penguin (Pygoscelis papua),Biscoe,42.9,13.1,215,5000,FEMALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,46.1,15.1,215,5100,MALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.3,216,4100,NA,5117
Gentoo penguin (Pygoscelis papua),Biscoe,47.8,15,215,5650,MALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,48.2,14.3,210,4600,FEMALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.3,220,5550,MALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,47.3,15.3,222,5250,MALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,42.8,14.2,209,4700,FEMALE,5117
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,207,5050,FEMALE,5113
Gentoo penguin (Pygoscelis papua),Biscoe,59.6,17,230,6050,MALE,5113
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.8,220,5150,FEMALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,16.3,220,5400,MALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,42.6,13.7,213,4950,FEMALE,4778
Gentoo penguin (Pygoscelis papua),Biscoe,44.4,17.3,219,5250,MALE,4778
Gentoo penguin (Pygoscelis papua),Biscoe,44,13.6,208,4350,FEMALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.7,208,5350,MALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,42.7,13.7,208,3950,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,49.6,16,225,5700,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.7,210,4300,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,49.6,15,216,4750,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,222,5550,MALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,43.6,13.9,217,4900,FEMALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.9,210,4200,FEMALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,225,5400,MALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.3,213,5100,FEMALE,4778
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,15.8,215,5300,MALE,4778
Gentoo penguin (Pygoscelis papua),Biscoe,46.6,14.2,210,4850,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,48.5,14.1,220,5300,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.4,210,4400,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,50.1,15,225,5000,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.4,217,4900,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,45,15.4,220,5050,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,43.8,13.9,208,4300,FEMALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,15,220,5000,MALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,43.2,14.5,208,4450,FEMALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.3,224,5550,MALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.8,208,4200,FEMALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.9,221,5300,MALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,45.7,13.9,214,4400,FEMALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,54.3,15.7,231,5650,MALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.2,219,4700,FEMALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,49.8,16.8,230,5700,MALE,4776
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.4,214,4650,NA,4771
Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.2,229,5800,MALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,43.5,14.2,220,4700,FEMALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,50.7,15,223,5550,MALE,4767
Gentoo penguin (Pygoscelis papua),Biscoe,47.7,15,216,4750,FEMALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.6,221,5000,MALE,4777
Gentoo penguin (Pygoscelis papua),Biscoe,48.2,15.6,221,5100,MALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.8,217,5200,FEMALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15,216,4700,FEMALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,48.6,16,230,5800,MALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.2,209,4600,FEMALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.3,220,6000,MALE,4774
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,13.8,215,4750,FEMALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,16.4,223,5950,MALE,4771
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.5,212,4625,FEMALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,52.5,15.6,221,5450,MALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,47.4,14.6,212,4725,FEMALE,4400
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.9,224,5350,MALE,4400
Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.8,212,4750,FEMALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,50.8,17.3,228,5600,MALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,43.4,14.4,218,4600,FEMALE,4395
Gentoo penguin (Pygoscelis papua),Biscoe,51.3,14.2,218,5300,MALE,4395
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14,212,4875,FEMALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,52.1,17,230,5550,MALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,15,218,4950,FEMALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,52.2,17.1,228,5400,MALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,14.5,212,4750,FEMALE,4384
Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.1,224,5650,MALE,4384
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.7,214,4850,FEMALE,4388
Gentoo penguin (Pygoscelis papua),Biscoe,50.8,15.7,226,5200,MALE,4388
Gentoo penguin (Pygoscelis papua),Biscoe,49.4,15.8,216,4925,MALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,46.9,14.6,222,4875,FEMALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.4,203,4625,FEMALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.5,225,5250,MALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,48.5,15,219,4850,FEMALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,55.9,17,228,5600,MALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,47.2,15.5,215,4975,FEMALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,15,228,5500,MALE,4397
Gentoo penguin (Pygoscelis papua),Biscoe,47.3,13.8,216,4725,NA,4384
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,16.1,215,5500,MALE,4384
Gentoo penguin (Pygoscelis papua),Biscoe,41.7,14.7,210,4700,FEMALE,4405
Gentoo penguin (Pygoscelis papua),Biscoe,53.4,15.8,219,5500,MALE,4405
Gentoo penguin (Pygoscelis papua),Biscoe,43.3,14,208,4575,FEMALE,4406
Gentoo penguin (Pygoscelis papua),Biscoe,48.1,15.1,209,5500,MALE,4406
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.2,216,5000,FEMALE,4395
Gentoo penguin (Pygoscelis papua),Biscoe,49.8,15.9,229,5950,MALE,4395
Gentoo penguin (Pygoscelis papua),Biscoe,43.5,15.2,213,4650,FEMALE,4388
Gentoo penguin (Pygoscelis papua),Biscoe,51.5,16.3,230,5500,MALE,4388
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.1,217,4375,FEMALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,55.1,16,230,5850,MALE,4390
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,15.7,217,4875,NA,4384
Gentoo penguin (Pygoscelis papua),Biscoe,48.8,16.2,222,6000,MALE,4384
Gentoo penguin (Pygoscelis papua),Biscoe,47.2,13.7,214,4925,FEMALE,4384
Gentoo penguin (Pygoscelis papua),Biscoe,NA,NA,NA,NA,NA,4384
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,14.3,215,4850,FEMALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.7,222,5750,MALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,14.8,212,5200,FEMALE,4393
Gentoo penguin (Pygoscelis papua),Biscoe,49.9,16.1,213,5400,MALE,4393
Chinstrap penguin (Pygoscelis antarctica),Dream,46.5,17.9,192,3500,FEMALE,5127
Chinstrap penguin (Pygoscelis antarctica),Dream,50,19.5,196,3900,MALE,5127
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.2,193,3650,MALE,5120
Chinstrap penguin (Pygoscelis antarctica),Dream,45.4,18.7,188,3525,FEMALE,5120
Chinstrap penguin (Pygoscelis antarctica),Dream,52.7,19.8,197,3725,MALE,5125
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,17.8,198,3950,FEMALE,5125
Chinstrap penguin (Pygoscelis antarctica),Dream,46.1,18.2,178,3250,FEMALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,18.2,197,3750,MALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,46,18.9,195,4150,FEMALE,5125
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.9,198,3700,MALE,5125
Chinstrap penguin (Pygoscelis antarctica),Dream,46.6,17.8,193,3800,FEMALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,51.7,20.3,194,3775,MALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,47,17.3,185,3700,FEMALE,5120
Chinstrap penguin (Pygoscelis antarctica),Dream,52,18.1,201,4050,MALE,5120
Chinstrap penguin (Pygoscelis antarctica),Dream,45.9,17.1,190,3575,FEMALE,5124
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,19.6,201,4050,MALE,5124
Chinstrap penguin (Pygoscelis antarctica),Dream,50.3,20,197,3300,MALE,5116
Chinstrap penguin (Pygoscelis antarctica),Dream,58,17.8,181,3700,FEMALE,5116
Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,18.6,190,3450,FEMALE,5116
Chinstrap penguin (Pygoscelis antarctica),Dream,49.2,18.2,195,4400,MALE,5116
Chinstrap penguin (Pygoscelis antarctica),Dream,42.4,17.3,181,3600,FEMALE,5113
Chinstrap penguin (Pygoscelis antarctica),Dream,48.5,17.5,191,3400,MALE,5113
Chinstrap penguin (Pygoscelis antarctica),Dream,43.2,16.6,187,2900,FEMALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,50.6,19.4,193,3800,MALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,46.7,17.9,195,3300,FEMALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,52,19,197,4150,MALE,5118
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,18.4,200,3400,FEMALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,49.5,19,200,3800,MALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,17.8,191,3700,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,52.8,20,205,4550,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,40.9,16.6,187,3200,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,54.2,20.8,201,4300,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,16.7,187,3350,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,51,18.8,203,4100,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,49.7,18.6,195,3600,MALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,47.5,16.8,199,3900,FEMALE,4755
Chinstrap penguin (Pygoscelis antarctica),Dream,47.6,18.3,195,3850,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,52,20.7,210,4800,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,46.9,16.6,192,2700,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,53.5,19.9,205,4500,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.5,210,3950,MALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,46.2,17.5,187,3650,FEMALE,4756
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,19.1,196,3550,MALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,45.5,17,196,3500,FEMALE,4766
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,17.9,196,3675,FEMALE,4398
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,18.5,201,4450,MALE,4398
Chinstrap penguin (Pygoscelis antarctica),Dream,50.1,17.9,190,3400,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.6,212,4300,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,51.5,18.7,187,3250,MALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,49.8,17.3,198,3675,FEMALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,48.1,16.4,199,3325,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,51.4,19,201,3950,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17.3,193,3600,FEMALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,50.7,19.7,203,4050,MALE,4392
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,17.3,187,3350,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,52.2,18.8,197,3450,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,16.6,191,3250,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,49.3,19.9,203,4050,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.8,202,3800,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,45.6,19.4,194,3525,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,51.9,19.5,206,3950,MALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,46.8,16.5,189,3650,FEMALE,4388
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17,195,3650,FEMALE,4396
Chinstrap penguin (Pygoscelis antarctica),Dream,55.8,19.8,207,4000,MALE,4396
Chinstrap penguin (Pygoscelis antarctica),Dream,43.5,18.1,202,3400,FEMALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,49.6,18.2,193,3775,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,19,210,4100,MALE,4394
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.7,198,3775,FEMALE,4394
